Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,21676.000000,22080.000000,21125.550781,21200.500000,21024.371094,24518
2019-06-06,21300.000000,21686.900391,20466.250000,20618.400391,20447.107422,39208
2019-06-07,20500.050781,20999.949219,20410.000000,20739.250000,20566.953125,21847
2019-06-10,20849.849609,20972.250000,20657.699219,20807.650391,20634.785156,26806
2019-06-11,20790.000000,20949.949219,20576.000000,20782.250000,20609.597656,10997
2019-06-12,20779.000000,20779.000000,20324.050781,20546.050781,20375.359375,33923
2019-06-13,20600.000000,20875.000000,20410.800781,20760.250000,20587.777344,30731
2019-06-14,20731.599609,20900.000000,20305.000000,20463.250000,20293.246094,13119
2019-06-17,20463.250000,20498.500000,19857.099609,19991.750000,19825.664063,20508
2019-06-18,19961.000000,20726.000000,19876.949219,20538.800781,20368.169922,24799
2019-06-19,20574.500000,20648.949219,20300.000000,20438.550781,20268.751953,19988
2019-06-20,20452.150391,21270.000000,20059.599609,21199.550781,21023.431641,41269
2019-06-21,21105.000000,21305.000000,20987.150391,21154.400391,20978.656250,35961
2019-06-24,21154.400391,21389.750000,21000.650391,21081.300781,20906.162109,21987
2019-06-25,21000.000000,21715.000000,20980.050781,21589.250000,21409.890625,21206
2019-06-26,21453.500000,22030.000000,21410.000000,21860.099609,21678.492188,19040
2019-06-27,21810.050781,22100.349609,21651.099609,21887.900391,21706.062500,63640
2019-06-28,21900.000000,22019.949219,21587.550781,21820.800781,21639.517578,22816
2019-07-01,21870.000000,22399.900391,21400.000000,21469.050781,21290.691406,20072
2019-07-02,21550.000000,21648.099609,21370.099609,21551.900391,21372.851563,18109
2019-07-03,21625.000000,21636.849609,21270.150391,21486.800781,21308.294922,12129
2019-07-04,21622.000000,21772.300781,21349.050781,21605.250000,21425.759766,31351
2019-07-05,21750.000000,21894.250000,21199.050781,21366.000000,21188.496094,36173
2019-07-08,21400.000000,21433.750000,20771.250000,20815.000000,20642.072266,18389
2019-07-09,20820.050781,21363.400391,20650.050781,21205.750000,21029.578125,16588
2019-07-10,21100.000000,21414.000000,20969.050781,21199.550781,21023.431641,22041
2019-07-11,21210.250000,21500.000000,21210.250000,21436.750000,21258.658203,14155
2019-07-12,21457.500000,21661.050781,21214.000000,21354.849609,21177.439453,17786
2019-07-15,21369.800781,21543.050781,21131.900391,21464.800781,21286.478516,8627
2019-07-16,21400.000000,21673.400391,21300.000000,21562.000000,21382.867188,17697
2019-07-17,21559.000000,21765.000000,21399.000000,21509.199219,21330.505859,11653
2019-07-18,21558.099609,21700.000000,21349.699219,21421.000000,21243.041016,11027
2019-07-19,21549.000000,21704.599609,21000.000000,21145.800781,20970.126953,28283
2019-07-22,21145.800781,21145.800781,20601.099609,20939.949219,20765.984375,17265
2019-07-23,21049.650391,21390.000000,20616.800781,20758.699219,20586.242188,18967
2019-07-24,20825.000000,20849.900391,20431.099609,20675.550781,20503.783203,14107
2019-07-25,20503.000000,21295.000000,20503.000000,21189.550781,21013.513672,24595
2019-07-26,21170.000000,21541.400391,20955.150391,21431.300781,21253.253906,16163
2019-07-29,21431.250000,21476.650391,20961.500000,21095.449219,20920.193359,13281
2019-07-30,21087.449219,21232.949219,20601.000000,20768.699219,20596.158203,23220
2019-07-31,20551.199219,20673.550781,19889.550781,20164.250000,20030.486328,46252
2019-08-01,20063.000000,20150.000000,19691.000000,20001.750000,19869.064453,48049
2019-08-02,19999.000000,20098.000000,19564.099609,20001.199219,19868.517578,28627
2019-08-05,19750.000000,20045.000000,19662.349609,19964.699219,19832.259766,14878
2019-08-06,19880.000000,20424.949219,19825.500000,20206.449219,20072.404297,36366
2019-08-07,20206.000000,20647.050781,20000.150391,20180.849609,20046.974609,20085
2019-08-08,20201.000000,20539.099609,19563.000000,20109.949219,19976.546875,27813
2019-08-09,20295.000000,20918.300781,20101.000000,20270.000000,20135.535156,52782
2019-08-13,20000.500000,20078.000000,19401.449219,19698.750000,19568.072266,94885
2019-08-14,19730.000000,20073.750000,19470.099609,19676.699219,19546.169922,26811
2019-08-16,19839.000000,19839.000000,19210.099609,19475.849609,19346.652344,24210
2019-08-19,19750.000000,19750.000000,19314.199219,19409.650391,19280.892578,10896
2019-08-20,19467.849609,19475.900391,18755.000000,19008.500000,18882.404297,42664
2019-08-21,19100.000000,19100.050781,18668.550781,18701.949219,18577.886719,42828
2019-08-22,18672.400391,18789.949219,18311.050781,18439.050781,18316.730469,21633
